,
Roll No.,Elective section
2205165,CD_CS-3
2205632,CD_CS-3
2205853,CD_CS-3
2205857,CD_CS-3
2205859,CD_CS-3
2205880,CD_CS-3
2205882,CD_CS-3
2205885,CD_CS-3
2205913,CD_CS-3
2205919,CD_CS-3
2205953,CD_CS-3
2205960,CD_CS-3
22051022,CD_CS-3
22051024,CD_CS-3
22051034,CD_CS-3
22051064,CD_CS-3
22051111,CD_CS-3
22051195,CD_CS-3
22051224,CD_CS-3
22051252,CD_CS-3
22051434,CD_CS-3
22051443,CD_CS-3
22051542,CD_CS-3
22051551,CD_CS-3
22051609,CD_CS-3
22051668,CD_CS-3
22051689,CD_CS-3
22051734,CD_CS-3
22051750,CD_CS-3
22051938,CD_CS-3
22051998,CD_CS-3
22052021,CD_CS-3
22052044,CD_CS-3
22052123,CD_CS-3
22052223,CD_CS-3
22052234,CD_CS-3
22052260,CD_CS-3
22052667,CD_CS-3
22052815,CD_CS-3
22052817,CD_CS-3
22052944,CD_CS-3
22053102,CD_CS-3
22053123,CD_CS-3
22053318,CD_CS-3
22053489,CD_CS-3
22053561,CD_CS-3
22053674,CD_CS-3
22053688,CD_CS-3
22053701,CD_CS-3
22053711,CD_CS-3
22053714,CD_CS-3
22053739,CD_CS-3
22053741,CD_CS-3
22053927,CD_CS-3
22053943,CD_CS-3
22053981,CD_CS-3
22054007,CD_CS-3
22054027,CD_CS-3
22054029,CD_CS-3
22054030,CD_CS-3
22054038,CD_CS-3
22054130,CD_CS-3
22054316,CD_CS-3
22054321,CD_CS-3
22054329,CD_CS-3
22054331,CD_CS-3
22054335,CD_CS-3
22054345,CD_CS-3
22054347,CD_CS-3
22054375,CD_CS-3
22054409,CD_CS-3
22054432,CD_CS-3
22054449,CD_CS-3
23057038,CD_CS-3
2205096,CD_CS-4
2205125,CD_CS-4
2205161,CD_CS-4
2205216,CD_CS-4
2205232,CD_CS-4
2205261,CD_CS-4
2205378,CD_CS-4
2205518,CD_CS-4
2205520,CD_CS-4
2205545,CD_CS-4
2205609,CD_CS-4
2205618,CD_CS-4
2205625,CD_CS-4
2205753,CD_CS-4
22051047,CD_CS-4
22051052,CD_CS-4
22051133,CD_CS-4
22051323,CD_CS-4
22051340,CD_CS-4
22051383,CD_CS-4
22051466,CD_CS-4
22051487,CD_CS-4
22051518,CD_CS-4
22051662,CD_CS-4
22051691,CD_CS-4
22051761,CD_CS-4
22051877,CD_CS-4
22051878,CD_CS-4
22051896,CD_CS-4
22051904,CD_CS-4
22051962,CD_CS-4
22052012,CD_CS-4
22052051,CD_CS-4
22052091,CD_CS-4
22052093,CD_CS-4
22052097,CD_CS-4
22052121,CD_CS-4
22052215,CD_CS-4
22052352,CD_CS-4
22052375,CD_CS-4
22052438,CD_CS-4
22052441,CD_CS-4
22052442,CD_CS-4
22052580,CD_CS-4
22052607,CD_CS-4
22052763,CD_CS-4
